Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Astral Ltd","Building Products - Pipes","49697.34","91.00","-5.69","15.20","8.74","51.33","60.36","0.20","39.32","20.33"
"Page Industries Ltd","Apparel & Accessories","49652.20","87.23","25.42","31.09","10.25","55.50","45.95","0.83","-0.36","510.31"
"AU Small Finance Bank Ltd","Consumer Finance","49434.08","32.21","9.42","3.94","4.02","19.35","18.95","0.14","4.31","22.98"
"Central Bank of India Ltd","Public Banks","49168.84","18.43","-12.32","1.52","1.38","2.49","-","-","58.91","3.07"
"Glenmark Pharmaceuticals Ltd","Pharmaceuticals","48446.06","-32.26","65.18","6.17","3.71","31.35","-","-","-605.17","-53.22"
"Federal Bank Ltd","Private Banks","47431.12","12.22","25.99","1.53","1.77","5.29","7.38","0.62","13.65","17.05"
"Bank of India Ltd","Public Banks","47397.83","7.22","-26.29","0.67","0.70","-","-","2.69","62.17","15.16"
"Coromandel International Ltd","Fertilizers & Agro Chemicals","47279.67","28.79","46.76","5.00","2.12","17.02","33.12","0.37","-18.55","55.81"
"SJVN Ltd","Renewable Energy","46917.82","51.48","-7.20","3.33","15.49","28.57","35.83","1.51","-32.95","2.32"
"KPIT Technologies Ltd","IT Services & Consulting","46860.92","78.82","25.20","21.67","9.50","44.10","46.78","0.39","55.71","21.96"
"Premier Energies Ltd","Renewable Energy","46573.47","201.31","24.10","70.58","14.68","93.93","516.62","-","2113.78","7.77"
"One 97 Communications Ltd","Business Support Services","46223.61","-32.62","92.20","3.48","4.39","-","71.03","-","19.42","-22.32"
"Tata Elxsi Ltd","Software Services","46145.96","58.25","-0.37","18.42","12.56","38.50","65.81","0.94","4.91","127.21"
"Fortis Healthcare Ltd","Hospitals & Diagnostic Centres","45927.88","76.69","37.84","5.37","6.34","35.58","41.75","0.16","1.72","7.93"
"Honeywell Automation India Ltd","Electronic Equipments","45602.90","90.95","15.23","12.65","10.86","58.08","103.95","0.19","14.47","567.10"
"Coforge Ltd","IT Services & Consulting","45540.50","56.36","33.83","12.22","4.93","30.91","50.41","1.03","15.60","131.48"
"GE Vernova T&D India Ltd","Heavy Electrical Equipments","45215.26","249.74","78.79","36.38","14.17","127.42","87.23","0.11","12251.01","7.07"
"GlaxoSmithKline Pharmaceuticals Ltd","Pharmaceuticals","44785.87","75.91","35.57","25.19","12.45","48.36","76.95","1.21","-3.39","34.83"
"Nippon Life India Asset Management Ltd","Asset Management","44414.61","40.11","21.40","11.15","21.80","31.95","57.13","2.34","52.11","17.67"
"ACC Ltd","Cement","43222.06","18.50","-4.24","2.65","2.09","10.79","14.43","0.33","163.98","124.03"
"APL Apollo Tubes Ltd","Building Products - Pipes","42712.42","58.32","-0.65","11.85","2.35","34.34","38.43","-","8.51","26.40"
"Tata Technologies Ltd","IT Services & Consulting","42706.75","62.86","0.10","13.26","8.16","39.65","145.10","0.95","10.53","16.75"
"National Aluminium Co Ltd","Metals - Aluminium","42242.53","21.24","24.02","2.94","3.06","11.38","15.53","2.17","38.60","10.83"
"Adani Wilmar Ltd","FMCG - Foods","42135.58","284.74","-4.28","5.07","0.82","30.50","145.84","-","-74.58","1.14"
"Housing and Urban Development Corporation Ltd","Specialized Finance","41763.64","19.73","6.68","2.51","5.25","40.44","-","-","24.41","10.57"
"Blue Star Ltd","Home Electronics & Appliances","41489.98","99.99","38.56","15.88","4.26","57.67","143.45","0.35","0.24","20.84"
"Exide Industries Ltd","Batteries","41382.25","47.20","4.49","3.21","2.45","21.93","27.02","0.41","6.56","10.31"
"Max Financial Services Ltd","Insurance","41180.82","121.08","12.54","9.42","0.88","98.80","6.74","-","-9.94","9.90"
"Escorts Kubota Ltd","Tractors","41170.16","39.24","17.89","4.49","4.44","23.99","39.89","0.48","79.32","86.55"
"IPCA Laboratories Ltd","Pharmaceuticals","40956.74","74.83","21.48","5.30","5.19","32.03","43.36","0.25","16.13","21.57"
